Df	Sum Sq	Mean Sq	F value	Pr(>F)	term
4	232.01313957577395	58.00328489394349	175.0636591724979	1.4773709412198502e-146	splines::ns(log10_len, df = 4)
13910	4608.756018744892	0.3313268165884178	NA	NA	Residuals
