sample	long_gene_metastasis_score
TCGA-D9-A6E9-06	0.08961598861596859
TCGA-D9-A6EA-06	-0.27340066495565746
TCGA-D9-A6EC-06	-0.8531968523426889
TCGA-D9-A6EG-06	-0.24711606890205945
TCGA-DA-A1HV-06	0.011630549852450711
TCGA-DA-A1HW-06	0.8615687183641223
TCGA-DA-A1HY-06	0.5553427340579773
TCGA-DA-A1I0-06	-0.305550055971019
TCGA-DA-A1I1-06	0.9905319242155801
TCGA-DA-A1I2-06	0.6483375543914428
TCGA-DA-A1I4-06	0.17424022677103626
TCGA-DA-A1I5-06	0.16228882543937065
TCGA-DA-A1I7-06	0.8163908710968927
TCGA-DA-A1I8-06	0.400312503073113
TCGA-DA-A1IA-06	-0.9450552914676538
TCGA-DA-A1IB-06	0.14850143348971123
TCGA-DA-A1IC-06	-0.8183250670953638
TCGA-DA-A3F2-06	0.6407868369150633
TCGA-DA-A3F3-06	0.8857895227532102
TCGA-DA-A3F5-06	0.3585201454259421
TCGA-DA-A3F8-06	0.9221871065941645
TCGA-DA-A95V-06	-0.3458229783764747
TCGA-DA-A95W-06	0.20405039031272965
TCGA-DA-A95X-06	0.7344868612892157
TCGA-DA-A95Y-06	-0.4806896646746012
TCGA-DA-A95Z-06	0.0060497136265103
TCGA-DA-A960-01	-1.0827542439263185
TCGA-EB-A1NK-01	-2.4138620294843482
TCGA-EB-A24C-01	-1.5069338798120913
TCGA-EB-A24D-01	-0.719313559574051
TCGA-EB-A299-01	-2.7841973428685076
TCGA-EB-A3HV-01	-2.7153447361865455
TCGA-EB-A3XB-01	-0.9431330002989595
TCGA-EB-A3XC-01	-2.328470656854089
TCGA-EB-A3XD-01	-2.4887610467033827
TCGA-EB-A3XE-01	-2.907129814818583
TCGA-EB-A3XF-01	-1.6464803230773999
TCGA-EB-A3Y6-01	-1.0562733239280382
TCGA-EB-A3Y7-01	-2.3221873368649404
TCGA-EB-A41A-01	-1.7145058588000488
TCGA-EB-A41B-01	-0.3971468720612043
TCGA-EB-A42Y-01	-0.17347448138854127
TCGA-EB-A42Z-01	-0.35785511350888766
