model	df	r2	adj_r2	sigma	AIC	BIC
M0_intercept	13914	0	0	0.5898358794543832	24800.297571388397	24815.37901673632
M1_length_lin	13913	0.0466790022337838	0.04661048207294394	0.5759255866144505	24137.11043110529	24159.732599127172
M2_aveexpr	13913	0.002590308911331244	0.0025186198657560777	0.5890926249837034	24766.206659375603	24788.828827397483
M3_len_aveexpr	13912	0.04716259099789865	0.047025610346805746	0.5758001871730842	24132.05001285974	24162.21290355558
M4_len_spline	13909	0.04834710912019788	0.048005009439818336	0.57550422793453615	24120.740844314074	24173.525903031794
