Res.Df	RSS	Df	Sum of Sq	F	Pr(>F)	contrast	row
13913	4828.230070832176	NA	NA	NA	NA	len|aveexpr	1
13912	4612.465942391551	1	215.76412844062543	650.7821612899763	2.480839672635127e-140	len|aveexpr	2
13912	4612.465942391551	NA	NA	NA	NA	spline|len_lin	1
13909	4606.731963597654	3	5.733978793897222	5.770823487201702	6.124298128092199e-4	spline|len_lin	2
