gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	length_bp
ARHGEF10L	-0.19668098030018763	9.360430232558139	-2.1417395197697595	0.032721890643351154	0.06256769041342139	-4.857386431186468	4644
HIF3A	0.6352495726495724	3.3527367864693445	2.1392205342769874	0.032926487676588866	0.06283809360914426	-4.862705105575707	5856
RNF10	-0.09626818584532006	11.723520718816067	-2.1961254525900342	0.028565106731076692	0.05585158487514329	-4.741079433215563	3814
RNF11	0.23516510058369824	10.505944186046511	2.922282650925122	0.003640256900576987	0.00993149158389974	-2.9162766119054986	3159
RNF13	0.24638603814884313	10.247502748414377	2.783995393291453	0.005583396251200342	0.014208506357253549	-3.3025187545570214	3086
GTF2IP1	-0.07018564206795928	12.1230866807611	-1.1017450645958433	0.27112985871278295	0.3635132081223467	-6.526682252351737	2047
REM1	0.2537954580988116	4.213137843551797	1.1995352931175471	0.23091724327374755	0.3186750343277804	-6.414946022823848	1745
RTN4RL2	-0.23793882895559684	5.24981310782241	-1.498268933273885	0.13472691734469455	0.2046880453347142	-6.015230160683259	2224
C16orf13	-0.3655233609547633	9.360519450317124	-4.144161515426853	4.0378130181944996e-5	2.2556816670349136e-4	1.269022750382879	NA
FGFR1OP2	0.3156174405878675	8.835024524312896	3.9497165796089324	9.009316882835996e-5	4.414350253093628e-4	0.5116818395287668	3057
ATRX	0.6514516416510318	10.065543763213531	6.361961342494912	4.687797200953213e-10	1.4153011255230803e-8	12.205066683565255	11165
PMM2	-0.3255557926829268	9.945712684989429	-5.450897859464571	8.063252287639232e-8	1.2038143297687152e-6	7.217016767965525	5397
LOC100272146	0.23097783771106933	4.6634775898520084	1.9280542899604012	0.05444348915540299	0.09624150962095993	-5.286619957838244	NA
ASS1	-0.7061213883677299	6.499474207188161	-3.3154087059176796	9.85083402845893e-4	0.003311977442853827	-1.720045774890103	4338
NCBP1	0.1981725453408382	9.735245877378436	2.8340130267495964	0.004792300626877465	0.012489486749577195	-3.16490509287945	4983
ZNF709	0.23217946372732942	5.666415010570825	1.9350505277642427	0.053576747196239456	0.09491365504811097	-5.2732684072560705	4897
ZNF708	0.3393954294350637	6.519088794926004	3.0669016737926564	0.0022861713113335297	0.006721818406255261	-2.4930535108430902	10930
RBM14	-0.1167029836356056	10.418027061310783	-2.3428903099451768	0.019546335318250632	0.040724218098052566	-4.412971477880507	5367
NCBP2	0.12294988273921213	10.871225158562368	2.1288728953392155	0.03377807910682123	0.06422449308293955	-4.884484003777768	4161
DISC1	0.11083517302480708	8.981909725158562	1.0931412223774732	0.27488529704178355	0.3673188608424256	-6.536060984410074	7084
CAMK1	0.4910907702730877	7.868134249471459	3.982085709726038	7.900351221557126e-5	3.9453510326637056e-4	0.6353934258019427	1715
RPL37	-0.19402215968313508	13.633553488372094	-2.2430447506345383	0.025353704647524143	0.0505946782590984	-4.6384446786283	7573
SPR	-0.2664021940796331	9.52537441860465	-2.7204520494579905	0.006758161623568042	0.016676088717770664	-3.4739235658016177	1437
ZNF700	0.11203515999583083	7.707196828752643	1.0983534889459883	0.2726059848524458	0.36507507299548025	-6.530388028101541	3113
ZNF707	-0.28189745153220774	8.281036152219873	-4.517256842295288	7.912097524858999e-6	5.752469665705365e-5	2.816478455579551	3532
CAMK4	1.5891027412966443	3.9986594080338267	7.20074153094481	2.3563870321701285e-12	1.1763313257252945e-10	17.36513973332307	11942
ZNF704	0.30525641025641004	8.428115644820297	1.8583442307499418	0.06373797713611462	0.10989836675379769	-5.417052676717368	15071
RNF115	0.1749404575776528	8.929569978858352	2.9832190926643913	0.0029989818458389357	0.008458745979058678	-2.740347184410725	9135
RNF112	0.09348738273921187	2.7802031712473574	0.5979381626360677	0.5501658563077456	0.637724894064395	-6.95233649460485	3192
ZC3H14	0.17239109339170336	9.83050422832981	3.028554826084723	0.0025908885945626118	0.007473262078871853	-2.607190626649408	18153
SPN	0.9841780852616212	7.169601057082453	4.493874033777313	8.793646635965008e-6	6.315122533847368e-5	2.7158599919600803	7252
NACAP1	0.11418075880758806	7.2867754756871035	1.6201010047598923	0.10587352115341502	0.16776331031584063	-5.8270371339243345	NA
LRRTM1	-0.5982489185949557	2.084010147991543	-1.9877853758816897	0.04740857887899493	0.08572481553546325	-5.1710994187776524	4023
GRIN1	-0.35998641598916004	1.7587524312896405	-2.2183026407485547	0.02700582455763498	0.05324653811939939	-4.6928322150441755	4775
DHX8	0.09524799614342293	10.329533403805497	1.798038962891348	0.07280501271764028	0.12295715292763737	-5.526068523433667	6215
DHX9	0.260145343443819	12.18643002114165	5.623328239038536	3.19917753395201e-8	5.478966821441899e-7	8.10981959475715	4493
LOC441204	0.07691516572858066	4.716084355179704	0.46305216578249564	0.64353881980477	0.7212201689848886	-7.023549905507739	NA
TCOF1	0.06442867417135702	11.014166384778013	1.0167861394254933	0.3097722306301534	0.4044597436894538	-6.616086562802087	5240
NUP98	0.23839103085261626	11.213577167019027	5.035393057447608	6.780752009164316e-7	7.212893199385669e-6	5.1670671084732245	7023
XPC	0.022608950906816635	10.262527272727272	0.3468346719151024	0.7288689620396172	0.7940924598698953	-7.070397608938564	4048
SLC12A2	0.33186907702730895	9.224372093023256	3.012296769208381	0.0027310076939006844	0.007811576169387817	-2.655170118948319	6874
GRINA	-0.10861594486137169	12.808572515856238	-1.3517754848024595	0.1770897881083836	0.25628008457944246	-6.222219908003543	2455
LRRTM2	0.2554910438815924	4.072566384778012	1.148278747753054	0.2514308995917312	0.34125042303064185	-6.474689943300228	6064
NUP93	-0.2393425031269543	10.887289217758985	-3.0268219704340886	0.002605500460323105	0.00750729713786264	-2.61231575384559	8257
HAP1	-0.2631154106733375	3.083853911205074	-1.0982776665225895	0.27263913808571244	0.3650897027248057	-6.530470664843396	5683
KLRA1	-0.27187941682301414	4.0313505285412266	-1.6019395554248466	0.10983302921704625	0.17282024064579113	-5.856013827526989	NA
CAMKV	0.3493867078382322	1.733116913319239	1.743459249274325	0.08189972212480885	0.13554222452416975	-5.621675925690146	3768
SPPL3	-0.2249821320617052	10.512276744186046	-4.785684141024349	2.2781663721507728e-6	2.0008879409734916e-5	4.005336341847466	4135
GOLIM4	0.6885112231603085	9.222507822410147	5.471800816751634	7.218095347771368e-8	1.0956561736764967e-6	7.323879433717263	4942
ZNF646	0.008331238273921139	9.33353403805497	0.15062180099443637	0.8803379338361256	0.9134291632651795	-7.118989423856856	8118
OPA3	-0.15717634198457378	9.566106553911204	-2.941895866240682	0.003421355039720284	0.009423500783559607	-2.860033276242633	7811
OPA1	0.28516295340838027	10.55988731501057	4.035771531394393	6.341150021845203e-5	3.2947500145139394e-4	0.8426675663403547	6429
RHEB	-0.06676894152595382	10.580289640591966	-0.9855671513057896	0.32484676657395184	0.4204652292702801	-6.647145407314182	2046
RAB40C	-0.3594262872628727	8.934901902748415	-5.393878794884585	1.0889293494318943e-7	1.5565339978302378e-6	6.927174535026063	3337
RAB40B	-0.17214215916197623	7.672748625792812	-1.8363438113585568	0.06693090970258793	0.11459118742367394	-5.457234068909426	3829
RAB40A	-0.3270517432770481	2.7385668076109937	-3.0446607907154233	0.002458631170721622	0.007148843607514405	-2.5594203562468207	4454
COL7A1	-2.2815358375026062	6.695367441860465	-8.616337444594057	1.028676661249418e-16	8.489942454452484e-15	27.201425556026578	9276
MDP1	-0.14201150458619968	7.491712050739958	-2.2106084450868577	0.02753824521357886	0.054120873445951796	-4.709624991415762	889
GTSE1	0.09625807275380428	8.866487737843551	0.8749908504503041	0.3820206723891193	0.47906448219583836	-6.749393164954191	2983
ARFRP1	-0.16930078955597253	9.697992177589851	-2.3649541744468956	0.018432884110585964	0.03879811465234703	-4.361851968974884	5178
PSAP	0.014517338961851044	15.62086575052854	0.1633835900410915	0.8702858372880621	0.9057458077193544	-7.116994289197094	2906
KIAA0831	-0.05769456691682321	9.023739957716701	-0.8057569101066652	0.4207857724354286	0.517211908881865	-6.80724519974507	NA
SPPL2A	0.21610566499895761	9.160291754756871	2.612170530541753	0.00928156209140281	0.021746130640399396	-3.757161345317183	7270
SLC46A1	0.13381940535751527	9.00297399577167	1.492080952293323	0.13634104365704008	0.206593348189245	-6.024400120068567	6492
TGFBR2	0.34012037992495303	11.047063002114164	2.9494951573009365	0.003339846915481422	0.009220649813391641	-2.838148714509087	5794
ITGA8	1.4583899207838231	2.919532980972516	6.522142330633918	1.7755101914792062e-10	5.927028330254976e-9	13.149645646277621	6547
ITGA9	0.4224208489681047	7.519933192389006	2.2306981493007516	0.02616690476892843	0.051881462311159615	-4.665659772974446	7860
STK40	0.10359317542213883	10.605949471458773	1.6149062340999485	0.10699429610144033	0.16916387362052906	-5.835358409282998	6323
MYO3B	0.2093587919533041	1.6113475687103593	1.236242202436499	0.21697883838252452	0.30287782097523225	-6.370567781558397	6213
ATP2A1	-0.35374444183864906	3.669164270613108	-2.811094332459601	0.005141215627353151	0.013259944325321632	-3.2282550891218733	3532
ATP2A2	-0.028607184177611055	12.879002959830867	-0.5219547361490694	0.6019448882729945	0.6854092377284847	-6.994676627322459	8295
ATP2A3	0.6341709974984368	8.91527420718816	3.288761073119448	0.00108093276668501	0.0035792822096843958	-1.805692917850088	4826
ITGA1	1.2014996404002505	8.38990866807611	7.299493090768158	1.2223085293363308e-12	6.312954492396193e-11	18.006595942115062	10736
ITGA2	0.3460909135918284	7.966655391120508	1.8701124989353908	0.06208246781508753	0.10738730399104766	-5.395365399336272	7843
ITGA3	-0.5010614055659786	12.087990274841438	-2.551607705974634	0.011034601784046666	0.025136773692235055	-3.910708521393255	5479
ITGA4	1.5443045679591414	8.182206342494714	6.639019300821168	8.638729099551839e-11	3.1670197931035583e-9	13.851168933242127	6781
ITGA5	0.26798514436105886	10.439728752642706	1.9220565885611571	0.055195935085489936	0.09734114010996314	-5.298028541493823	4996
ITGA6	0.031287424431936585	10.85725623678647	0.18436929030550392	0.8538023723637419	0.8941065462731683	-7.1133608890497335	5816
ITGA7	0.022425070356473106	9.81067420718816	0.09659298950278584	0.9230903267465603	0.94477693814953	-7.125639571515798	4238
LOC100132288	-0.15103589222430694	7.933001691331924	-1.2032562343082194	0.22947592047731644	0.31716843540515405	-6.410507988849269	NA
DENND4A	0.7281565249114029	8.338942917547568	6.574660883194867	1.2859572712728308e-10	4.465235142364687e-9	13.463699985521869	8837
DENND4B	0.03763814102564109	10.735057716701903	0.624695823191773	0.5324703377163561	0.6227066951476383	-6.936060506791551	6395
DENND4C	0.4223650093808634	9.055840591966174	4.698890286243061	3.4298359930334817e-6	2.8194007181972924e-5	3.614086939379648	8143
SWAP70	0.3126592323327078	10.924272515856236	2.8541231511574408	0.00450403319208857	0.01185394886255155	-3.1089129887502684	4884
RARRES1	1.498176467062747	6.826374418604651	7.48840643244867	3.416181904424627e-13	1.954960682866553e-11	19.253189287286844	2040
LOC100132287	-0.16386080623306226	7.684405285412262	-1.5513361848997957	0.12148640947776171	0.18779226251884784	-5.935046816154987	NA
PHLDA3	-0.582514790494059	10.957576109936575	-3.85408746288268	1.321172447324367e-4	6.102063069419404e-4	0.15169619860044126	2749
PHLDA2	-0.6218277022097137	8.352909936575053	-3.023794702355561	0.002631230749174542	0.007567034464094322	-2.6212679062403073	955
TACO1	-0.20975479987492168	9.1306088794926	-3.356458535142538	8.527514174655276e-4	0.0029288141531689307	-1.5868100416002555	2304
PMM1	-0.31124081717740254	9.781684989429175	-3.9519034715165384	8.929968418923955e-5	4.3806989639309156e-4	0.5200104651096558	2538
GAP43	0.5692895611840733	3.2564084566596194	1.8690643213668414	0.06222845828736267	0.10760583269231885	-5.397302517002834	1901
NENF	-0.34609034552845513	10.56464312896406	-3.768618976235968	1.8478224341101458e-4	8.108104637409841e-4	-0.16300471738336597	916
SQLE	-0.03013298936835503	9.853827061310783	-0.2394064993825232	0.8108935625463057	0.8610665204151113	-7.1017491579999525	2994
MRPL28	-0.43257703512612056	10.363530232558139	-6.0356625118901945	3.1895501293301226e-9	7.697055333525146e-8	10.342621872825498	2607
LOC100289341	-0.5061310558682509	5.474105496828753	-4.681384611099289	3.7220471261538404e-6	3.0246557270928254e-5	3.5359646818527004	NA
FBXL13	0.37458464665415886	3.4463966173361524	2.4510446756559454	0.01460320406555925	0.03194074092059464	-4.1579181965959995	4657
FBXL12	-0.07947112257661046	8.539431289640593	-1.5566472805271618	0.12021952541105788	0.18623511369341603	-5.9268697929184855	1920
FBXL15	-0.12455637116948082	7.577400422832981	-1.3467683655784584	0.1786963631192497	0.2581955720832724	-6.228921741890148	1924
CYP27B1	-0.09683383364602884	5.057834249471459	-0.6487131323849986	0.5168369728169911	0.6079738176154035	-6.920845717666972	2545
FBXL17	0.19222768918073802	8.576498520084566	1.9660719151144914	0.04987163972966087	0.08939122677288552	-5.213494182546553	5198
FBXL16	0.2410974984365226	5.171871247357294	1.0939093561862867	0.27454864412794694	0.3670780634286389	-6.535226584499725	3557
FAM169A	0.6122485120908905	5.361061310782241	3.4319279351975	6.516140702808424e-4	0.002346439265576092	-1.3377982285632415	7860
FAM116B	-0.16926706795914098	7.218059830866808	-1.5859554263154911	0.11341415974512427	0.1775535372847127	-5.881249236274553	NA
FAM116A	0.11581344069209926	9.075797251585623	1.5245252773058289	0.12804232464331997	0.196227222164961	-5.975902826376872	NA
RALGAPA2	0.7172310558682508	7.333079281183933	5.895310982127993	7.096258535918024e-9	1.4923040997940797e-7	9.567289338054165	9545
GHDC	-0.258516815196998	10.090175052854123	-3.377702064651115	7.909577123850536e-4	0.002759859009180901	-1.517250241504085	2650
H19	0.7223272175317909	10.34054820295983	3.482047974036545	5.435261573449784e-4	0.002013731921550626	-1.1695267661217033	2396
SDK2	-0.42419709714404863	5.49697822410148	-1.3609152318001463	0.1741852035536004	0.2529235066010373	-6.209923056436232	11079
TPRN	-0.5284457395247028	8.874130866807612	-5.057191000028069	6.085347834791172e-7	6.579655827497525e-6	5.27098732227085	3350
THSD4	0.17299716489472555	5.884628964059196	0.9055433206175703	0.36563625263057753	0.4624372257203608	-6.722352673527762	9373
KIAA0895L	-0.16939774338127989	7.859961733615222	-1.7589786645159087	0.07922426392370445	0.1318851926497995	-5.594786441808925	NA
CHST9	-0.5546951662497399	4.58956067653277	-1.3523745123271964	0.1768984144216504	0.2561148585581081	-6.221416455227372	11379
CHST8	0.3283333437565144	1.6347608879492601	1.7220248615333436	0.08571530118622481	0.1406455874729036	-5.658427030693828	2479
COL4A5	-0.297122073691891	5.276306131078224	-0.8738653019451167	0.3826327881829823	0.47964897825654873	-6.750371653860165	6531
COL4A4	0.2937391416510317	4.968195137420719	1.4585259241289323	0.1453558443614025	0.21798067821326467	-6.07347047613172	9984
COL4A3	0.5380013393787785	2.39673044397463	2.567585247969686	0.01054552936375916	0.02421358510700132	-3.870538973530366	8038
COL4A2	0.10787538565770255	12.810493023255814	0.8223771661543384	0.4112745157818579	0.5081833168222416	-6.7937906909594625	6547
COL4A1	0.2852626433187408	12.330117970401691	2.4365617667710118	0.015193615316850108	0.033001807509567924	-4.192725300973569	6742
SLC35D2	-0.07555566760475292	9.267875264270613	-0.9611512492833223	0.3369646017178032	0.43348528382652146	-6.670763897819	3327
CHST1	0.10836103033145716	6.158661310782241	0.606633081379655	0.5443839638374396	0.6328168640108293	-6.947125599810183	8080
ZNF879	-0.022049856681258848	5.130287737843552	-0.15769887088536721	0.8747610318092052	0.9093661109205889	-7.117903046976726	4221
CHST3	-0.180617193037315	10.007324524312896	-1.7410529748671875	0.08232116346817253	0.13614367020453788	-5.625824322478216	6934
CHST2	0.1063824864498647	8.399954334038055	0.6702652562856622	0.5030141391431254	0.5951745744672813	-6.906704846867355	4142
CHST5	-0.4748607958098812	2.469205073995772	-3.794865905920593	1.6680182246012142e-4	7.44039416644496e-4	-0.06705737220943764	3554
CHST7	0.5875411793829476	5.296207610993657	4.3214656437091135	1.8885702847466645e-5	1.1968546710159582e-4	1.9890551164094905	3614
CHST6	0.04298384406920988	8.343825158562368	0.24711861352781983	0.8049231017133152	0.8562221960510004	-7.099881184581679	8370
ITGAX	0.6017198483427142	8.731063002114166	4.030925016001651	6.46906610773691e-5	3.351670086860284e-4	0.8238309392012164	4663
BCL2A1	0.11373475349176605	9.124372727272727	0.5352650784269894	0.5927168394072778	0.677013795842905	-6.987674233179157	809
GPSM2	-0.0424242834062954	8.56262579281184	-0.3938323173929203	0.6938813878707051	0.7642373869627455	-7.05307078557445	8071
HLCS	-0.008231230456535196	8.908333403805496	-0.10603514386307256	0.915599184717036	0.939715182308927	-7.124686979562524	8273
NOG	-0.17521967114863474	1.7328881606765327	-0.8906792349067876	0.3735516976254023	0.470666463165194	-6.735623727477986	1913
LIPG	-0.33409859547633963	4.530227061310782	-1.597599772067064	0.11079637676571803	0.1741691895099687	-5.862890182376038	10418
ITGAV	0.41926253387533863	10.940802959830867	3.1864101076698756	0.0015352901131986047	0.004823414998285082	-2.1285098650932452	7951
HIBCH	0.08604948144673769	9.06964778012685	1.0189844707410847	0.3087284894478033	0.4035460971500773	-6.613863165697101	4346
ZNF703	-0.1764192724619552	8.84281289640592	-0.99383790560341	0.3208073202732498	0.41628659462493917	-6.639010901049262	3316
ITGAL	1.106396513445903	8.320346934460888	4.544383891733684	6.996047193321611e-6	5.171155675207657e-5	2.9337432981002216	7524
ITGAM	1.003861358661663	7.657620930232558	6.238706675275458	9.765391956485349e-10	2.7323134155590353e-8	11.491740785099028	4745
HLF	-0.44220130289764403	4.418723044397463	-2.2689662107788497	0.02371765307574408	0.047849003085127226	-4.580831366869013	5721
NOV	-1.6978806936627058	9.011382875264271	-6.415054556310686	3.4051923361138656e-10	1.0592211918245099e-8	12.515961308545227	NA
FAM134C	-0.1675813268709609	10.885367230443975	-3.24013430853072	0.001278465256616719	0.004134182590012403	-1.9602725259230684	NA
FAM134B	0.1675626433187409	7.384497040169133	0.8219010262258748	0.4115452040677138	0.5083432884743928	-6.794179947058809	NA
FAM134A	-0.11370793985824468	11.78746934460888	-1.9557379507175097	0.05108120627109436	0.09115142674885417	-5.233510305189632	NA
SERPING1	0.5310588284344381	11.879431712473574	3.1614094517705524	0.0016703680912097123	0.005178204139303193	-2.2058773774853355	2849
SMAD9	0.989940183969147	3.2762433403805495	5.261526479501005	2.1652785743883094e-7	2.754650294791138e-6	6.264802718204976	5577
TRERF1	0.771745760371065	7.131912473572939	4.888678729240692	1.3906973924151878e-6	1.3134453118474436e-5	4.477994876580825	7922
LOC653501	0.2707434855117784	6.3442450317124734	2.289496540038204	0.02248783782718465	0.045818167531780266	-4.5347408227648405	NA
LRPAP1	-0.3595927897644362	12.551649894291755	-3.4386084176954292	6.36137398495848e-4	0.0022987724164787258	-1.3155116053181821	10446
LQK1	0.02967864029601865	5.029719450317125	0.18741112295285217	0.8514182412352552	0.8923862918983939	-7.112797858519017	NA
SMAD6	-0.11582629508025848	5.5512513742071885	-0.9104593685133437	0.36304157563576844	0.4600412651988165	-6.717915391079508	5198
SMAD7	0.1943676490514905	8.083868921775899	1.874439610499982	0.061482693344276126	0.10650688276409567	-5.3873567672190745	4318
GOLPH3L	-0.0831245335626431	8.98841289640592	-0.8449310509344953	0.39857424965962707	0.49567779840757503	-6.775094920670483	3501
SMAD1	0.2870596727121118	7.5880391120507396	2.176217165660392	0.030030539773231914	0.058231592117539664	-4.783986255876231	4975
AFTPH	0.32673853450072954	9.508593657505285	4.598074209687751	5.473273426197047e-6	4.1927725164113945e-5	3.1678235984675425	4674
SMAD3	0.03882324108818006	9.775141860465116	0.4505447050325138	0.6525230800843458	0.7286041924879526	-7.029236839972264	6464
MUS81	-5.176751094433511e-4	9.266610570824524	-0.008924364174906274	0.9928832249193902	0.9948215035429516	-7.130245425336442	3420
AMMECR1L	-0.12531846727121143	10.111688583509514	-2.0912311075355134	0.03703745933078636	0.06956807319863165	-4.962838935345342	4884
IL1RAPL1	0.7785237778820094	2.0593424947145875	3.161902762327069	0.0016675998827811922	0.005172551553314126	-2.2043564177258332	3615
IGF2R	0.1211311601000626	12.375738054968288	1.3927860959240324	0.16433534402854386	0.24126608477025155	-6.166400172035308	14231
ZC3H10	-0.029348470398165516	7.764251585623678	-0.5124546329115335	0.6085708059741397	0.6912765002641448	-6.999566766399173	7121
