category	term	goseq_p	goseq_padj	hyper_p	hyper_padj
GO:0042100	B cell proliferation	1.3835900976984713e-7	2.3936108690183555e-5	1.445271357851466e-7	2.1977252668970815e-5
GO:0031640	killing of cells of another organism	1.4471325045041243e-7	2.443454291205124e-5	2.085124581466594e-9	4.706517141229128e-7
GO:0141061	disruption of cell in another organism	1.4471325045041243e-7	2.443454291205124e-5	2.085124581466594e-9	4.706517141229128e-7
GO:0002703	regulation of leukocyte mediated immunity	1.4829032537547856e-7	2.483980640773691e-5	4.391564846393533e-8	7.376807647790812e-6
GO:0030183	B cell differentiation	1.803821866471683e-7	2.9977530955709718e-5	2.74660161239784e-7	4.007818878050424e-5
GO:0050863	regulation of T cell activation	2.0405096721477356e-7	3.364609151589852e-5	1.4623199194337858e-7	2.200486828764632e-5
GO:0070663	regulation of leukocyte proliferation	2.1579345833546136e-7	3.530648629169184e-5	9.34165982243655e-8	1.4829628329111912e-5
GO:0001910	regulation of leukocyte mediated cytotoxicity	2.584759946529566e-7	4.164423162706338e-5	4.350953186633785e-8	7.376807647790812e-6
GO:0141060	disruption of anatomical structure in another organism	2.7841815516259354e-7	4.451737562774015e-5	5.3143455176219975e-9	1.1289858139348144e-6
GO:0051241	negative regulation of multicellular organismal process	3.3863392535734214e-7	5.3337370362627334e-5	1.0713324196828597e-6	1.279046953284181e-4
GO:0002366	leukocyte activation involved in immune response	3.8181232435854726e-7	5.9692821614159246e-5	3.009634800316087e-7	4.26246905150649e-5
GO:0030217	T cell differentiation	4.115674219127214e-7	6.38716324036022e-5	6.43020258840745e-7	8.095019620286894e-5
GO:0002263	cell activation involved in immune response	4.864971957518608e-7	7.494897674115893e-5	4.0164472647068915e-7	5.372370109810718e-5
GO:0002683	negative regulation of immune system process	5.097137098602162e-7	7.795664898775162e-5	3.724891749418563e-7	5.076394925669865e-5
GO:0030595	leukocyte chemotaxis	5.377017619592032e-7	8.164556394180533e-5	5.463698735528213e-8	8.868381116116917e-6
GO:0002715	regulation of natural killer cell mediated immunity	7.191765019954522e-7	1.0842099465082868e-4	2.811502391758538e-7	4.0212835199350334e-5
GO:0002704	negative regulation of leukocyte mediated immunity	7.636608316791109e-7	1.1431081924410861e-4	5.910223269825582e-7	7.691809491522555e-5
GO:0007159	leukocyte cell-cell adhesion	8.50339838159836e-7	1.2638924383240492e-4	8.492840319469234e-7	1.0486117201286543e-4
