category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	padj
GO:0001714	0.9999999999858953	0.6275730543513831	0	6	endodermal cell fate specification	BP	1
GO:0006579	0.9999999999859063	0.9479943418816701	0	1	amino-acid betaine catabolic process	BP	1
GO:0014723	0.9999999999859063	0.9479943418816701	0	1	regulation of skeletal muscle contraction by modulation of calcium ion sensitivity of myofibril	BP	1
GO:0047865	0.9999999999859063	0.9479943418816701	0	1	dimethylglycine dehydrogenase activity	MF	1
GO:0044024	0.9999999999859093	0.9551756277497346	0	1	histone H2AS1 kinase activity	MF	1
GO:0003220	0.9999999999859132	0.8039667958726994	0	4	left ventricular cardiac muscle tissue morphogenesis	BP	1
GO:0060631	0.9999999999859345	0.8841549725240754	0	2	regulation of meiosis I	BP	1
GO:0052031	0.9999999999859411	0.9079910863618031	0	2	symbiont-mediated perturbation of host defense response	BP	1
GO:0052167	0.9999999999859411	0.9079910863618031	0	2	symbiont-mediated perturbation of host innate immune response	BP	1
GO:0052170	0.9999999999859411	0.9079910863618031	0	2	symbiont-mediated suppression of host innate immune response	BP	1
GO:0052553	0.9999999999859411	0.9079910863618031	0	2	symbiont-mediated perturbation of host immune response	BP	1
GO:0052562	0.9999999999859411	0.9079910863618031	0	2	symbiont-mediated suppression of host immune response	BP	1
GO:0097361	0.9999999999859713	0.8990160371554402	0	2	cytosolic [4Fe-4S] assembly targeting complex	CC	1
GO:0000514	0.9999999999859863	0.8974745862564462	0	2	3-sulfino-L-alanine: proton, glutamate antiporter activity	MF	1
GO:0000515	0.9999999999859863	0.8974745862564462	0	2	aspartate:glutamate, proton antiporter activity	MF	1
GO:0106421	0.9999999999859863	0.8974745862564462	0	2	L-glutamate:proton antiporter activity	MF	1
GO:0034227	0.9999999999859878	0.7133753897907001	0	5	tRNA thio-modification	BP	1
GO:0017040	0.9999999999859964	0.7085946324527392	0	6	N-acylsphingosine amidohydrolase activity	MF	1
GO:0005011	0.9999999999860104	0.9042345205088186	0	2	macrophage colony-stimulating factor receptor activity	MF	1
GO:0003868	0.99999999998602	0.9185666292506003	0	1	4-hydroxyphenylpyruvate dioxygenase activity	MF	1
GO:0050585	0.99999999998602	0.9185666292506003	0	1	4-hydroxymandelate synthase activity	MF	1
GO:0042627	0.9999999999860217	0.6278373791812929	0	6	chylomicron	CC	1
GO:1905203	0.9999999999860233	0.7167523552109003	0	6	regulation of connective tissue replacement	BP	1
GO:0060928	0.9999999999860287	0.7861439898560828	0	4	atrioventricular node cell development	BP	1
GO:0009224	0.9999999999860346	0.7587041597691888	0	4	CMP biosynthetic process	BP	1
GO:0043771	0.9999999999860346	0.7587041597691888	0	4	cytidine kinase activity	MF	1
GO:0044752	0.9999999999860348	0.7987234081474301	0	4	response to human chorionic gonadotropin	BP	1
