term	Df	Sum of Sq	RSS	AIC	F value	Pr(>F)
<none>	NA	NA	4606.844267118381	-15371.979317197423	NA	NA
splines::ns(log10_len, df = 3)	3	221.3858037137952	4828.230070832176	-14724.852719710436	222.81894438664042	3.39843154994817e-141
AveExpr	1	2.021906280382609	4608.866173398764	-15367.873477278828	6.1049852630929795	0.013492002025932003
