term	Estimate	Std. Error	t value	Pr(>|t|)
splines::ns(log10_len, df = 3)1	0.7392936071678116	0.058020327111697606	12.741975855195772	5.561156899333724e-37
splines::ns(log10_len, df = 3)2	0.8201935939161259	0.2767173207278244	2.9640124866735675	0.0030417058147726426
splines::ns(log10_len, df = 3)3	0.5503660104050128	0.16354766224583747	3.3651719801272817	7.670279844020771e-4
