decile	n	median_length	median_logFC	pct_sig	pct_up	pct_down
1	1392	1312	-0.15723960676780702	4.094827586206897	0	4.094827586206897
2	1392	2051	-0.08682114466213782	2.9454022988505746	0.21551724137931033	2.7298850574712645
3	1392	2626.5	-0.06721954194984041	2.0114942528735633	0.14367816091954022	1.8678160919540232
4	1392	3200	-0.029594733792702083	1.293103448275862	0	1.293103448275862
5	1392	3772	0.014918079068742266	0.9339080459770116	0.14367816091954022	0.7902298850574714
6	1391	4386	0.05168329990350708	0.9345794392523363	0.14378145219266716	0.7907979870596693
7	1391	5032	0.08394010252876163	0.7907979870596693	0.07189072609633358	0.7189072609633357
8	1391	5861	0.10723843589944555	1.1502516175413373	0.14378145219266716	1.00647016534867
9	1391	7149	0.17622462936447975	0.7189072609633357	0.14378145219266716	0.5751258087706687
10	1391	10050	0.22833195292292338	1.00647016534867	0.28756290438533433	0.7189072609633357
